"bb [mm]","Freq [GHz]","dB(S(2,1)) []"
21,6.8,-22.7194086608576
21,6.82,-23.6926804088714
21,6.84,-24.8635029301442
21,6.86,-26.2489860693768
21,6.88,-27.8581717060069
21,6.9,-29.681106913213
21,6.92,-31.6564019448778
21,6.94,-33.5957101686452
21,6.96,-35.097059493077
21,6.98,-35.707298804765
21,7,-35.4263048475337
21,7.02,-34.6956662583749
21,7.04,-33.8955801344269
21,7.06,-33.1946190905737
21,7.08,-32.6391431009746
21,7.1,-32.2287344111262
21,7.12,-31.9491894881084
21,7.14,-31.7843687980943
21,7.16,-31.7199291965795
21,7.18,-31.7441858476526
21,7.2,-31.8480141859621
23,4.8,-18.184031647816
23,4.82,-17.9979969358897
23,4.84,-17.8106900029964
23,4.86,-17.6236640350529
23,4.88,-17.4387073137327
23,4.9,-17.257877959823
23,4.92,-17.0835424631377
23,4.94,-16.9184180174532
23,4.96,-16.7656183842956
23,4.98,-16.6287024875887
23,5,-16.5117240341247
23,5.02,-16.4192789040058
23,5.04,-16.3565444555449
23,5.06,-16.329300646939
23,5.08,-16.3439161918023
23,5.1,-16.4072729237095
23,5.12,-16.526587425256
23,5.14,-16.709071015013
23,5.16,-16.9613500607318
23,5.18,-17.2885560271107
23,5.2,-17.6930054686353
23,5.22,-18.1724554670323
23,5.24,-18.7180887854086
23,5.26,-19.3127106250591
23,5.28,-19.9301224995899
23,5.3,-20.5370488239634
23,5.32,-21.0986845014737
23,5.34,-21.5871536064259
23,5.36,-21.9893986422023
23,5.38,-22.3099090094248
23,5.4,-22.5664488087303
23,5.42,-22.7813546426625
23,5.44,-22.9726382500465
23,5.46,-23.147345391191
23,5.48,-23.2973431011857
23,5.5,-23.3972318161108
23,5.52,-23.4054925616864
23,5.54,-23.271754824587
23,5.56,-22.95205691957
23,5.58,-22.4274785683784
23,5.6,-21.7143809117956
23,5.62,-20.8582175484992
23,5.64,-19.9164754901298
23,5.66,-18.9430135660964
23,5.68,-17.9802878193085
23,5.7,-17.0583376385252
23,5.72,-16.1969472387034
23,5.74,-15.4084202379753
23,5.76,-14.6998897976949
23,5.78,-14.074954544306
23,5.8,-13.5347590659307
23,5.82,-13.0786996169227
23,5.84,-12.7049034691065
23,5.86,-12.4105798878339
23,5.88,-12.1922980933056
23,5.9,-12.0462187818037
23,5.92,-11.9682896200428
23,5.94,-11.9544081340852
23,5.96,-12.0005538875005
23,5.98,-12.1028927474996
23,6,-12.2578573677098
23,6.02,-12.4622087715935
23,6.04,-12.7130838311421
23,6.06,-13.0080326259894
23,6.08,-13.3450483627752
23,6.1,-13.7225908616938
23,6.12,-14.1396024864821
23,6.14,-14.5955124077582
23,6.16,-15.090220415068
23,6.18,-15.6240436206415
23,6.2,-16.197595703414
23,6.22,-16.8115443631859
23,6.24,-17.466151167653
23,6.26,-18.160428660085
23,6.28,-18.8906428031725
23,6.3,-19.6477552722605
23,6.32,-20.413338752365
23,6.34,-21.1538708184287
23,6.36,-21.8149923373174
23,6.38,-22.3212972096723
23,6.4,-22.591361273262
23,6.42,-22.5716893317326
23,6.44,-22.2700614961523
23,6.46,-21.7565899593999
23,6.48,-21.1312941075312
23,6.5,-20.4890765917861
23,6.52,-19.9025737892085
23,6.54,-19.4199479243624
23,6.56,-19.0682526901969
23,6.58,-18.8573805473605
23,6.6,-18.7838285106314
23,6.62,-18.8349523886643
23,6.64,-18.9940683260862
23,6.66,-19.2459686053294
23,6.68,-19.581852116233
23,6.7,-20.0025608113603
23,6.72,-20.5193666617281
23,6.74,-21.1522357682339
23,6.76,-21.9261899362896
23,6.78,-22.8666658450024
23,6.8,-23.9942828928233
23,6.82,-25.3179004880018
23,6.84,-26.8219112579261
23,6.86,-28.4396145756981
23,6.88,-30.0067001046115
23,6.9,-31.2313686673494
23,6.92,-31.8143812109028
23,6.94,-31.7235585347711
23,6.96,-31.2194405195087
23,6.98,-30.5868149905084
23,7,-29.9895651709399
23,7.02,-29.4926569808384
23,7.04,-29.1116101970589
23,7.06,-28.8422138247779
23,7.08,-28.6740052961941
23,7.1,-28.5957049467505
23,7.12,-28.5971936772957
23,7.14,-28.6700878561706
23,7.16,-28.8077705818793
23,7.18,-29.0052270174658
23,7.2,-29.2588155973563
