"bb_c [mm]","Freq [GHz]","dB(S(2,1)) []"
2,5.28,-20.496696034997
2,5.32,-21.253720538548
2,5.36,-21.8471579385395
2,5.4,-22.3122999801128
2,5.44,-22.7444757672373
2,5.48,-23.1532267467548
2,5.52,-23.3567746984413
2,5.56,-22.9962938975636
2,5.6,-21.8441618021271
2,5.64,-20.1150660020591
2,5.68,-18.2260880564947
2,5.72,-16.470202379498
2,5.76,-14.9846879037067
2,5.8,-13.8190362715665
2,5.84,-12.9802274821556
2,5.88,-12.4535297940691
2,5.92,-12.2130033371663
2,5.96,-12.2283094735255
2,6,-12.469519626328
2,6.04,-12.9103198708099
2,6.08,-13.5300227456254
2,6.12,-14.3148159122723
2,6.16,-15.2583933591329
2,6.2,-16.3614166136696
2,6.24,-17.6274455658826
2,6.28,-19.0477407281376
2,6.32,-20.5537191846781
2,6.36,-21.9012144980323
2,6.4,-22.5650635208868
2,6.44,-22.1239755681616
2,6.48,-20.9318013809455
2,6.52,-19.7076261914669
2,6.56,-18.905109877704
2,6.6,-18.6672213481281
2,6.64,-18.9362230753876
2,6.68,-19.5883868508746
2,6.72,-20.5816474069892
2,6.76,-22.0256551602673
2,6.8,-24.1178106584192
2,6.84,-26.9798270915469
2,6.88,-30.2524289208655
2,6.92,-32.1615766667721
2,6.96,-31.5221439369366
2,7,-30.2081798905818
2,7.04,-29.2706031404909
2,7.08,-28.7921568344828
2,7.12,-28.6849259084347
2,7.16,-28.8707770643958
2,7.2,-29.3002174226279
2.5,4.8,-18.998829121081
2.5,4.84,-18.568786255465
2.5,4.88,-18.1327415169796
2.5,4.92,-17.7095405450935
2.5,4.96,-17.3228474102234
2.5,5,-17.0027733504842
2.5,5.04,-16.7876646186549
2.5,5.08,-16.7256883733687
2.5,5.12,-16.875033487294
2.5,5.16,-17.299461515454
2.5,5.2,-18.0516681870754
2.5,5.24,-19.1316794131674
2.5,5.28,-20.4150312016572
2.5,5.32,-21.6111080892902
2.5,5.36,-22.4203718217633
2.5,5.4,-22.8284002727098
2.5,5.44,-23.0547289155231
2.5,5.48,-23.2233501922898
2.5,5.52,-23.1809614565593
2.5,5.56,-22.5555738342517
2.5,5.6,-21.1461460424982
2.5,5.64,-19.2228764801062
2.5,5.68,-17.2153020056375
2.5,5.72,-15.3988396836012
2.5,5.76,-13.8930420243536
2.5,5.8,-12.7345864346888
2.5,5.84,-11.9203177497432
2.5,5.88,-11.4269847698156
2.5,5.92,-11.2219619337063
2.5,5.96,-11.2703394451666
2.5,6,-11.5395278117967
2.5,6.04,-12.0018970066076
2.5,6.08,-12.6361738091078
2.5,6.12,-13.4282371124946
2.5,6.16,-14.3715665458275
2.5,6.2,-15.4669760401737
2.5,6.24,-16.7199042161348
2.5,6.28,-18.1296492537292
2.5,6.32,-19.6541592980191
2.5,6.36,-21.1156170403982
2.5,6.4,-22.0637145770947
2.5,6.44,-21.9734376274246
2.5,6.48,-20.9798959337399
2.5,6.52,-19.7930707009999
