"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
6.7,90.0000000000002,-114,-4.69875937552432,-12.4788843574804
6.7,90.0000000000002,-112,-4.40465080752464,-12.5871707178619
6.7,90.0000000000002,-110,-4.11385436640762,-12.6802773116092
6.7,90.0000000000002,-108,-3.82603927719998,-12.7548213823014
6.7,90.0000000000002,-106,-3.5408989550429,-12.8076294253384
6.7,90.0000000000002,-104,-3.25815065267102,-12.8358513305178
6.7,90.0000000000002,-102,-2.97753605813922,-12.8370812197016
6.7,90.0000000000002,-100,-2.69882256459053,-12.8094733907515
6.7,90.0000000000002,-98,-2.42180494302473,-12.7518400691426
6.7,90.0000000000002,-96,-2.14630718236564,-12.6637182215891
6.7,90.0000000000002,-94,-1.87218430898483,-12.5453958162106
6.7,90.0000000000002,-92,-1.59932405139229,-12.3978931942516
6.7,90.0000000000002,-90,-1.32764826782635,-12.2229015193666
6.7,90.0000000000002,-88,-1.05711409971684,-12.0226861088617
6.7,90.0000000000002,-86,-0.787714849219396,-11.7999665073288
6.7,90.0000000000002,-84,-0.51948060282581,-11.5577867187103
6.7,90.0000000000002,-82,-0.252478635561911,-11.2993881141774
6.7,90.0000000000002,-80,0.0131863672364595,-11.028094842574
6.7,90.0000000000002,-78,0.277372239072722,-10.747218030329
6.7,90.0000000000002,-76,0.539899391830897,-10.4599815501425
6.7,90.0000000000002,-74,0.800550998953918,-10.1694692659444
6.7,90.0000000000002,-72,1.05907330953449,-9.8785916940044
6.7,90.0000000000002,-70,1.31517611262216,-9.59006895050023
6.7,90.0000000000002,-68,1.56853337929555,-9.30642651383603
6.7,90.0000000000002,-66,1.81878411334904,-9.03000048546018
6.7,90.0000000000002,-64,2.06553343934575,-8.76294946824344
6.7,90.0000000000002,-62,2.30835394958738,-8.50727072723338
6.7,90.0000000000002,-60,2.5467873202592,-8.26481884099713
6.7,90.0000000000002,-58,2.78034619323893,-8.0373255294385
6.7,90.0000000000002,-56,3.00851630584121,-7.82641972885178
6.7,90.0000000000002,-54,3.23075883828694,-7.63364727297241
6.7,90.0000000000002,-52,3.44651293998299,-7.46048973800363
6.7,90.0000000000002,-50,3.65519839237672,-7.30838213261643
6.7,90.0000000000002,-48,3.85621836912657,-7.17872917274421
6.7,90.0000000000002,-46,4.0489622636569,-7.07291988389342
6.7,90.0000000000002,-44,4.2328085689765,-6.99234022308877
6.7,90.0000000000002,-42,4.40712781322391,-6.93838330326683
6.7,90.0000000000002,-40,4.57128557439004,-6.91245662005616
6.7,90.0000000000002,-38,4.72464561632989,-6.91598539696559
6.7,90.0000000000002,-36,4.86657320276469,-6.95041073558337
6.7,90.0000000000002,-34,4.9964386540976,-7.01718061448057
6.7,90.0000000000002,-32,5.11362121179271,-7.11773082335333
6.7,90.0000000000002,-30,5.21751326598218,-7.25345150192232
6.7,90.0000000000002,-28,5.30752498408921,-7.42563287246499
6.7,90.0000000000002,-26,5.38308935283721,-7.63538074042865
6.7,90.0000000000002,-24,5.44366761521254,-7.88348806781703
6.7,90.0000000000002,-22,5.48875505057756,-8.17024310976033
6.7,90.0000000000002,-20,5.51788701336469,-8.49514724574662
6.7,90.0000000000002,-18,5.53064511679919,-8.85650767069947
6.7,90.0000000000002,-16,5.52666342574605,-9.25086485599682
6.7,90.0000000000002,-14,5.50563450927437,-9.67222066587716
6.7,90.0000000000002,-12,5.46731520024964,-10.1110684129969
6.7,90.0000000000002,-10,5.41153191657057,-10.5533229001698
6.7,90.0000000000002,-8,5.33818541588461,-10.9794462890283
6.7,90.0000000000002,-6,5.24725488104277,-11.3643711123281
6.7,90.0000000000002,-4,5.13880126456973,-11.6791041895129
6.7,90.0000000000002,-2,5.01296985366591,-11.8947680963722
6.7,90.0000000000002,0,4.86999204885427,-11.9888029052786
6.7,90.0000000000002,2,4.71018637526976,-11.9512426114598
6.7,90.0000000000002,4,4.53395876186861,-11.7878738386786
6.7,90.0000000000002,6,4.34180212722296,-11.5183755769847
6.7,90.0000000000002,8,4.13429529886655,-11.1705790687961
6.7,90.0000000000002,10,3.91210126575332,-10.7739575602534
6.7,90.0000000000002,12,3.67596472170657,-10.3548934512443
6.7,90.0000000000002,14,3.42670880556624,-9.93445543036867
6.7,90.0000000000002,16,3.16523088739462,-9.52810732267317
6.7,90.0000000000002,18,2.8924971982165,-9.14643638222231
6.7,90.0000000000002,20,2.60953606376507,-8.79620898029267
6.7,90.0000000000002,22,2.31742949173661,-8.48138304675734
6.7,90.0000000000002,24,2.01730288753645,-8.20393654176597
6.7,90.0000000000002,26,1.71031274320206,-7.96449191589103
6.7,90.0000000000002,28,1.39763226117824,-7.76276493961025
6.7,90.0000000000002,30,1.08043503530438,-7.59787797547241
6.7,90.0000000000002,32,0.759877104176981,-7.46857443041628
6.7,90.0000000000002,34,0.437077897218622,-7.37336342698733
6.7,90.0000000000002,36,0.11310078481375,-7.31061605929104
6.7,90.0000000000002,38,-0.211065909229732,-7.27862835002762
6.7,90.0000000000002,40,-0.534526500446516,-7.27566136548599
6.7,90.0000000000002,42,-0.856493229201858,-7.29996562861059
6.7,90.0000000000002,44,-1.17629844936171,-7.34979467073856
6.7,90.0000000000002,46,-1.49340314949172,-7.42341099392024
6.7,90.0000000000002,48,-1.80740152726556,-7.5190866579834
6.7,90.0000000000002,50,-2.11802166495449,-7.63510000165751
6.7,90.0000000000002,52,-2.42512267358992,-7.76972954583076
6.7,90.0000000000002,54,-2.72868894360562,-7.92124583570315
6.7,90.0000000000002,56,-3.0288223274396,-8.08790180869382
6.7,90.0000000000002,58,-3.32573316616258,-8.26792219527321
6.7,90.0000000000002,60,-3.61973105575478,-8.45949245096103
6.7,90.0000000000002,62,-3.91121614241439,-8.66074776764235
6.7,90.0000000000002,64,-4.20067156450478,-8.86976281334346
6.7,90.0000000000002,66,-4.48865745115794,-9.08454299489294
6.7,90.0000000000002,68,-4.77580667381624,-9.30301821828582
6.7,90.0000000000002,70,-5.06282235233624,-9.52304032168923
6.7,90.0000000000002,72,-5.35047695977243,-9.7423855501984
6.7,90.0000000000002,74,-5.63961275957975,-9.95876358996265
6.7,90.0000000000002,76,-5.93114324808457,-10.1698347263684
6.7,90.0000000000002,78,-6.22605525985408,-10.3732365665561
6.7,90.0000000000002,80,-6.52541141595524,-10.5666213946536
6.7,90.0000000000002,82,-6.83035264463417,-10.7477045437437
6.7,90.0000000000002,84,-7.14210056970586,-10.9143231436559
6.7,90.0000000000002,86,-7.46195963377199,-11.0645032778206
6.7,90.0000000000002,88,-7.79131889286818,-11.1965320892005
6.7,90.0000000000002,90,-8.13165348007641,-11.3090299492305
6.7,90.0000000000002,92,-8.48452578410184,-11.4010167534915
6.7,90.0000000000002,94,-8.85158642289928,-11.4719660496793
6.7,90.0000000000002,96,-9.23457511174561,-11.5218412651215
6.7,90.0000000000002,98,-9.6353215301203,-11.5511098280276
6.7,90.0000000000002,100,-10.0557462828789,-11.5607332809998
6.7,90.0000000000002,102,-10.4978620282377,-11.5521341700696
6.7,90.0000000000002,104,-10.9637748061996,-11.5271430523999
6.7,90.0000000000002,106,-11.4556855418919,-11.4879309304276
6.7,90.0000000000002,108,-11.9758916109209,-11.4369334836974
6.7,90.0000000000002,110,-12.5267882253414,-11.3767735574499
6.7,90.0000000000002,112,-13.1108692093994,-11.3101876223795
6.7,90.0000000000002,114,-13.7307264544691,-11.2399606273402
6.7,90.0000000000002,116,-14.3890469299125,-11.1688721517434
6.7,90.0000000000002,118,-15.0886055197822,-11.0996553085326
6.7,90.0000000000002,120,-15.8322510678094,-11.0349686412136
6.7,90.0000000000002,122,-16.6228817246052,-10.9773803871694
6.7,90.0000000000002,124,-17.4634038380628,-10.9293639489143
6.7,90.0000000000002,126,-18.3566659969553,-10.8933031768064
6.7,90.0000000000002,128,-19.3053561644626,-10.8715060500672
6.7,90.0000000000002,130,-20.3118448215936,-10.8662254765453
6.7,90.0000000000002,132,-21.3779503692668,-10.8796861573555
6.7,90.0000000000002,134,-22.504594390635,-10.9141167405321
6.7,90.0000000000002,136,-23.6913031960204,-10.9717867965732
6.7,90.0000000000002,138,-24.9354964977668,-11.0550484817747
6.7,90.0000000000002,140,-26.2314774069263,-11.1663831167189
6.7,90.0000000000002,142,-27.5689798327944,-11.3084533070361
6.7,90.0000000000002,144,-28.9309901371055,-11.4841616811137
6.7,90.0000000000002,146,-30.2902568959831,-11.6967178154055
6.7,90.0000000000002,148,-31.6034344371092,-11.9497154381097
6.7,90.0000000000002,150,-32.8018221539641,-12.2472224635344
6.7,90.0000000000002,152,-33.7809135553744,-12.5938865970716
6.7,90.0000000000002,154,-34.4023486134154,-12.9950586483939
6.7,90.0000000000002,156,-34.5347872425389,-13.4569330966216
6.7,90.0000000000002,158,-34.1325711233756,-13.9866980805412
6.7,90.0000000000002,160,-33.2767641192449,-14.592668339079
6.7,90.0000000000002,162,-32.1227230583796,-15.2843293375428
6.7,90.0000000000002,164,-30.8187812046477,-16.0721120875945
6.7,90.0000000000002,166,-29.4683453697258,-16.9664574240387
6.7,90.0000000000002,168,-28.1317960785738,-17.9751069601175
6.7,90.0000000000002,170,-26.840396284476,-19.096130451515
6.7,90.0000000000002,172,-25.6083204093903,-20.3013515445118
6.7,90.0000000000002,174,-24.4403604082502,-21.5018531917856
6.7,90.0000000000002,176,-23.3363670357772,-22.4984020497141
6.7,90.0000000000002,178,-22.2937156676001,-22.9863791344763
6.7,90.0000000000002,180,-21.3086610733856,-22.7489228669606
