"gx1 [mm]","Freq [GHz]","dB(S(1,1)) []"
2.4,5.44,-6.32690373746199
2.4,5.46,-5.49619334474775
2.4,5.48,-4.81045917844674
2.4,5.5,-4.23796358895223
2.4,5.52,-3.75548531914873
2.4,5.54,-3.34562032939619
2.4,5.56,-2.99508799336198
2.4,5.58,-2.69361630529548
2.4,5.6,-2.43317909527322
2.4,5.62,-2.20745721945402
2.4,5.64,-2.01144763677346
2.4,5.66,-1.84117300489711
2.4,5.68,-1.69346111805134
2.4,5.7,-1.56577368931749
2.4,5.72,-1.45607049929188
2.4,5.74,-1.36269932170944
2.4,5.76,-1.2843051373398
2.4,5.78,-1.21975442499556
2.4,5.8,-1.16807201673137
2.4,5.82,-1.12838923510533
2.4,5.84,-1.0999028334996
2.4,5.86,-1.08184465012205
2.4,5.88,-1.07346189001634
2.4,5.9,-1.07400763421978
2.4,5.92,-1.08274065569715
2.4,5.94,-1.09893304667223
2.4,5.96,-1.12188368487953
2.4,5.98,-1.15093530859106
2.4,6,-1.18549299403678
2.4,6.02,-1.22504212608894
2.4,6.04,-1.2691644571625
2.4,6.06,-1.3175514602317
2.4,6.08,-1.37001479657913
2.4,6.1,-1.42649425612647
2.4,6.12,-1.48706394073804
2.4,6.14,-1.55193773781105
2.4,6.16,-1.62147528948211
2.4,6.18,-1.69618973500322
2.4,6.2,-1.77675852784261
2.4,6.22,-1.86403863673449
2.4,6.24,-1.95908744859325
2.4,6.26,-2.0631906960367
2.4,6.28,-2.17789869280598
2.4,6.3,-2.30507198053485
2.4,6.32,-2.4469369834076
2.4,6.34,-2.60615110141505
2.4,6.36,-2.78587430140449
2.4,6.38,-2.98983987521092
2.4,6.4,-3.22240962832232
2.4,6.42,-3.48858768026291
2.4,6.44,-3.79395353516356
2.4,6.46,-4.14446562868434
2.4,6.48,-4.54609773805447
2.4,6.5,-5.00432930100924
2.4,6.52,-5.52363125505518
2.4,6.54,-6.10720245843429
2.4,6.56,-6.75706884525125
2.4,6.58,-7.47386555010046
2.4,6.6,-8.25399751341487
2.4,6.62,-9.07989706536308
2.4,6.64,-9.89844205782442
2.4,6.66,-10.5894320546691
2.4,6.68,-10.9562608042772
2.4,6.7,-10.8113586099777
2.4,6.72,-10.1384462821272
2.4,6.74,-9.11818292394751
2.4,6.76,-7.97480393802587
2.4,6.78,-6.86152348374665
2.4,6.8,-5.85275161499359
2.4,6.82,-4.97354070341485
2.4,6.84,-4.22407230043876
2.4,6.86,-3.59353847664664
2.4,6.88,-3.06714721528582
2.4,6.9,-2.62952825490884
2.4,6.92,-2.26632746459047
2.4,6.94,-1.96487057178079
2.4,6.96,-1.71433942098272
2.4,6.98,-1.50569895786235
2.4,7,-1.33150933990963
2.4,7.02,-1.18569904871628
2.4,7.04,-1.06333972284585
2.4,7.06,-0.960442264706203
2.4,7.08,-0.873781539887393
2.4,7.1,-0.800750401221493
2.4,7.12,-0.739240602022396
2.4,7.14,-0.687546943867902
2.4,7.16,-0.644290816117157
2.4,7.18,-0.608359586292218
2.4,7.2,-0.578858792036679
